Timestamp,"1. I immediately know when I become angry.					","2. I can handle bad situations fast.					","3. I am self-motivating.					","4. I see the problem someone faces from his point of view.				",5. I have good listening skills.,6. I know when I am in a good mood.,7. I have control over my emotions.,"8. I can prioritize between a set of important tasks.					","9. I easily empathize with others when I listen to their issues.					","10. I always let others complete their sentences before I speak.					","11. I like knowing new people and making new friends.					","12. I realize when I am feeling stress.					","13. Others find it difficult to know my mood.					","14.	I am good at meeting deadlines.					","15.	I immediately know when someone is unhappy with me.					","16.	I am good at meeting with a different type of people.					","17.	I can recognize my emotions.					","18.	I rarely lose my temper when dealing with difficult people.					","19.	I always utilize time.					","20.	I can tell when people are not getting along well.					",1. Are you inclined to keep in the background on social occasions? ,2. Do you like to mix socially with people? ,3. Are you inclined to limit your acquaintances to a select few?,4. Do you like to have many social engagements? ,5. Would you rate yourself as a happy-go-lucky individual? ,6. Can you usually let yourself go and have a good time at a party? ,7. Would you be very unhappy if you were prevented from making numerous social contacts?,8. Do you usually take the initiative in making new friends? ,9. Do you like to play pranks upon others? ,"10. Are you usually a ""good mixer?"" ","11. Do you often ""have the time of your life"" at social affairs? ",12. Do you derive more satisfaction from social activities than from anything else? ,1)When you work at solving a problem do you ,"2) To learn how a computer works, would you rather ","3) You have just entered a science museum, what will you do first? ","4) When you study for a test, would you rather ","5) When you aren't sure how to spell a word, which of these are you most likely to do?       ",6) What is most distracting for you when you are trying to concentrate?  ,"7) When you see the word ""d - o - g"", what do you do first?        ","8) When you tell a story, would you rather   "
2020/02/09 12:59:44 PM GMT+5:30,3,2,3,3,3,3,2,2,2,3,3,3,3,3,3,2,2,3,2,2,2,4,2,3,4,4,4,3,4,5,3,4,b,b,a,b,b,a,b,a
2020/02/09 1:47:40 PM GMT+5:30,2,2,2,3,3,3,2,3,3,3,1,3,1,3,3,1,3,2,2,3,3,1,5,1,3,2,1,1,2,2,3,1,a,a,a,a,c,c,b,c
2020/02/09 1:47:45 PM GMT+5:30,3,2,2,3,3,3,3,3,2,3,3,3,2,3,3,1,3,1,2,3,4,2,5,1,1,1,1,2,1,1,2,1,c,a,a,a,c,c,b,a
2020/02/09 2:08:03 PM GMT+5:30,2,2,2,3,2,3,2,3,3,2,3,3,2,3,3,2,2,3,1,2,5,5,3,4,3,5,2,2,5,3,3,3,c,b,c,a,b,a,b,c
2020/02/09 2:09:01 PM GMT+5:30,3,2,3,3,3,3,2,3,3,3,2,3,2,3,3,2,3,1,3,3,2,3,5,4,4,5,2,3,1,3,4,2,a,c,a,a,a,b,b,a
2020/02/09 2:09:08 PM GMT+5:30,3,2,1,2,2,2,2,1,3,3,3,2,2,2,2,2,3,2,1,2,2,4,2,4,4,3,4,3,4,3,3,2,c,b,c,a,b,b,b,a
2020/02/09 2:09:10 PM GMT+5:30,2,1,3,2,3,3,2,2,1,2,3,3,2,3,1,3,2,3,2,2,2,4,4,4,3,4,3,4,3,3,5,5,b,a,b,b,a,a,b,b
2020/02/09 2:10:22 PM GMT+5:30,3,2,1,3,3,3,2,3,3,3,3,3,3,1,3,3,3,3,1,3,3,5,3,5,1,3,5,2,1,5,2,3,a,b,b,a,a,a,b,b
2020/02/09 2:17:41 PM GMT+5:30,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,a,b,b,b,c,b,a,b
2020/02/09 2:17:53 PM GMT+5:30,2,3,1,3,3,3,2,3,3,2,3,1,3,3,3,2,2,2,1,3,3,2,5,5,3,4,3,1,3,3,2,4,c,c,b,a,a,b,b,b
2020/02/09 2:22:15 PM GMT+5:30,3,2,1,3,2,3,1,2,2,2,1,2,3,1,2,1,2,1,1,2,3,4,4,3,3,5,4,1,5,2,3,3,b,b,c,a,b,a,a,b
2020/02/09 2:24:10 PM GMT+5:30,2,3,2,3,2,3,1,3,2,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,4,3,3,3,5,4,3,3,a,b,b,a,a,b,a,b
2020/02/09 2:28:20 PM GMT+5:30,3,2,3,2,2,3,2,1,2,3,3,3,3,2,3,3,3,1,1,3,2,5,1,4,3,1,5,5,5,3,2,3,c,b,c,a,b,b,b,b
2020/02/09 2:32:37 PM GMT+5:30,2,2,2,2,3,3,3,2,3,2,2,3,3,3,3,2,3,2,2,3,4,3,4,4,3,3,4,4,3,3,2,2,a,b,c,c,b,b,a,a
2020/02/09 2:32:59 PM GMT+5:30,2,3,3,3,3,2,3,2,2,2,3,2,3,3,2,2,2,2,2,2,3,3,3,2,3,3,3,4,2,3,3,3,b,c,a,a,b,a,a,b
2020/02/09 2:43:45 PM GMT+5:30,3,2,3,2,3,3,3,2,3,2,3,3,2,3,3,2,3,2,2,3,3,4,5,2,4,5,1,3,2,3,4,4,c,b,a,a,c,b,b,b
2020/02/09 2:54:25 PM GMT+5:30,2,1,2,3,2,3,2,3,3,2,2,1,3,3,3,1,2,3,2,3,4,4,5,3,4,2,3,2,2,4,3,2,a,b,a,a,a,a,b,b
2020/02/09 3:07:51 PM GMT+5:30,3,2,2,3,2,3,3,3,3,2,1,3,1,2,3,1,3,1,1,3,2,3,5,4,1,4,5,1,2,3,5,1,c,b,c,a,b,a,b,b
2020/02/09 3:21:16 PM GMT+5:30,3,2,2,2,2,3,2,3,2,2,2,3,2,2,3,2,3,1,2,2,3,4,4,3,4,4,4,4,4,4,3,3,c,a,c,c,b,b,b,b
2020/02/09 3:30:33 PM GMT+5:30,3,3,3,3,3,2,2,2,3,3,3,2,2,3,3,3,2,3,2,3,4,4,2,2,4,5,2,3,4,4,3,4,c,c,c,a,c,a,a,b
2020/02/09 3:36:31 PM GMT+5:30,3,2,3,3,1,3,2,2,3,2,3,3,1,2,3,3,3,1,1,3,5,5,1,5,3,5,1,5,1,5,5,5,a,b,b,a,b,b,a,a
2020/02/09 3:39:14 PM GMT+5:30,1,3,1,3,2,3,3,1,3,2,3,3,2,2,1,3,2,1,2,3,1,5,2,4,2,2,4,2,5,5,3,4,c,c,b,a,b,b,a,b
2020/02/09 4:34:03 PM GMT+5:30,3,2,2,3,2,3,2,3,3,3,2,3,2,2,3,2,3,1,1,2,4,4,4,4,3,3,5,4,2,3,3,3,a,b,a,a,c,b,b,b
2020/02/09 4:35:50 PM GMT+5:30,3,1,1,3,1,3,1,2,3,2,2,3,1,1,3,3,1,1,1,2,1,4,5,4,2,4,4,2,3,5,3,3,c,a,a,a,a,c,b,b
2020/02/09 5:23:29 PM GMT+5:30,3,2,2,3,3,3,2,2,3,3,3,2,1,3,2,3,2,1,1,3,4,5,4,3,2,2,4,4,1,5,3,2,a,a,c,a,a,c,a,b
2020/02/09 5:28:14 PM GMT+5:30,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,2,3,3,3,2,5,5,3,1,5,4,1,5,1,5,1,2,a,b,c,c,b,b,a,b
2020/02/09 5:35:49 PM GMT+5:30,2,1,2,2,2,3,2,3,3,2,3,3,2,1,2,2,2,1,1,2,2,4,2,3,4,4,3,4,4,4,3,2,b,a,c,c,b,b,b,b
2020/02/09 6:28:34 PM GMT+5:30,1,2,3,2,2,2,3,2,2,2,3,2,3,2,2,3,3,3,1,2,2,5,1,5,5,3,4,5,5,5,5,3,a,b,c,a,b,b,c,b
2020/02/09 7:55:09 PM GMT+5:30,3,2,3,1,3,3,3,2,3,3,2,2,3,3,3,2,3,1,1,2,5,4,5,4,5,5,4,1,3,4,2,3,a,c,c,a,b,b,c,b
2020/02/09 8:45:40 PM GMT+5:30,3,3,2,3,3,1,3,2,2,2,2,3,3,1,3,2,2,3,1,3,4,3,5,3,3,5,5,5,5,3,4,1,c,b,a,c,b,c,c,c
2020/02/09 8:53:15 PM GMT+5:30,3,1,2,1,3,2,1,1,2,3,2,2,2,1,3,2,2,3,1,2,2,2,5,1,1,3,1,2,1,4,2,1,a,c,c,a,a,a,b,b
2020/02/10 4:56:11 PM GMT+5:30,1,1,1,1,1,2,3,2,1,2,2,2,2,1,2,2,2,2,2,2,4,3,2,2,3,3,3,3,3,4,3,3,a,a,a,a,a,a,a,a
2020/02/10 5:01:44 PM GMT+5:30,3,2,3,3,2,3,2,2,3,3,3,3,1,1,3,3,3,2,2,3,2,5,4,5,3,4,3,3,4,4,5,4,b,c,c,a,a,a,a,b
2020/02/10 5:15:16 PM GMT+5:30,3,1,1,2,3,3,2,3,2,3,2,3,2,3,3,2,3,1,2,2,4,2,5,2,4,3,2,2,1,2,4,2,c,c,b,c,c,c,a,b
2020/02/10 5:23:59 PM GMT+5:30,1,2,2,2,3,3,2,2,3,2,3,3,3,2,2,2,2,2,2,2,3,4,2,3,4,4,4,3,4,3,4,3,a,b,c,a,b,c,a,c
2020/02/10 5:36:00 PM GMT+5:30,1,2,2,3,2,1,2,2,2,2,3,2,2,2,2,1,2,2,2,3,4,4,2,3,3,5,4,4,5,2,3,2,c,b,a,c,c,b,b,b
2020/02/10 5:53:29 PM GMT+5:30,3,2,3,3,2,3,2,3,3,2,2,3,3,3,3,2,2,2,2,3,5,2,5,1,4,2,4,2,5,4,3,3,c,a,c,b,c,b,b,b
2020/02/10 7:31:34 PM GMT+5:30,3,1,2,2,3,3,2,1,3,3,3,2,3,3,2,3,2,3,2,1,2,5,4,3,4,4,4,2,3,4,3,2,a,c,a,b,a,a,b,b
2020/02/10 7:50:29 PM GMT+5:30,3,2,3,3,3,3,3,3,2,2,1,3,2,3,3,2,2,2,3,1,3,2,3,3,5,4,3,1,1,4,3,4,a,c,c,a,b,b,b,b
2020/02/10 7:51:13 PM GMT+5:30,2,2,3,2,3,3,2,3,2,2,2,3,1,2,3,2,3,2,3,3,1,3,4,1,2,4,1,1,1,3,3,2,b,a,c,a,a,b,a,b
2020/02/10 8:05:22 PM GMT+5:30,3,2,1,3,3,3,1,2,3,2,3,3,2,2,2,2,3,1,2,2,3,4,4,5,2,3,3,3,3,3,4,3,a,a,a,a,a,b,b,a
2020/02/10 8:17:19 PM GMT+5:30,2,2,3,3,2,2,2,2,3,2,3,3,2,3,3,2,2,2,2,3,2,4,3,3,4,3,2,3,3,3,3,2,c,b,c,b,b,a,a,b
2020/02/10 8:20:39 PM GMT+5:30,3,1,2,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,4,5,4,4,4,4,4,3,5,4,5,4,c,a,a,b,b,b,b,b
2020/02/10 8:46:05 PM GMT+5:30,3,3,2,3,3,3,3,2,3,2,3,3,2,2,3,3,2,2,1,3,3,5,4,1,5,5,5,5,5,3,2,5,a,c,b,c,b,c,c,a
2020/02/10 8:54:00 PM GMT+5:30,2,1,3,2,2,3,2,2,3,2,3,3,2,3,2,2,3,2,2,2,4,5,4,4,4,4,3,3,5,4,4,4,b,b,a,a,a,a,a,c
2020/02/10 8:55:37 PM GMT+5:30,3,2,3,3,2,3,2,3,3,3,1,2,3,3,2,1,3,2,3,2,2,3,5,1,5,2,5,1,5,3,2,4,c,c,a,b,b,a,b,b
2020/02/10 9:00:30 PM GMT+5:30,3,2,2,2,3,3,1,3,3,2,1,2,3,3,2,1,1,2,2,3,5,2,5,2,2,2,3,3,1,2,1,2,a,c,a,a,a,c,b,a
2020/02/10 9:35:07 PM GMT+5:30,3,2,3,3,2,3,3,3,2,2,2,3,2,3,2,2,3,2,2,3,3,3,4,2,4,4,2,3,4,4,2,1,c,c,a,a,b,b,a,b
2020/02/10 9:52:19 PM GMT+5:30,3,2,1,3,2,1,3,2,1,3,2,2,3,2,1,2,1,3,3,2,4,3,4,4,2,3,5,2,5,2,5,2,b,b,a,a,b,b,b,b
2020/02/10 9:53:38 PM GMT+5:30,3,2,2,2,1,3,2,2,2,1,2,3,2,3,2,2,3,1,2,2,4,4,3,4,4,3,3,4,2,4,4,4,a,b,c,a,b,b,b,b
2020/02/10 9:55:33 PM GMT+5:30,1,3,3,2,3,3,3,2,2,1,3,3,1,3,2,3,2,1,1,1,3,5,3,4,2,5,4,5,5,4,2,2,a,c,a,a,b,a,a,b
2020/02/10 10:36:51 PM GMT+5:30,3,3,2,3,3,3,2,2,3,3,3,1,2,2,3,3,3,3,3,3,5,4,3,2,5,5,4,3,3,1,2,3,c,c,c,a,c,a,b,c
2020/02/10 10:44:49 PM GMT+5:30,3,2,3,3,2,3,3,2,1,2,1,2,3,2,1,1,3,1,1,3,5,1,5,2,4,4,5,5,5,1,1,1,c,c,c,a,a,c,b,b
2020/02/11 8:55:06 AM GMT+5:30,3,2,2,2,3,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,2,4,5,4,4,4,3,4,2,4,4,4,a,c,a,c,b,b,b,b
2020/02/11 4:37:56 PM GMT+5:30,3,2,1,3,2,1,3,2,1,3,2,2,3,2,1,2,1,3,3,2,4,3,4,4,2,3,5,2,5,2,5,2,b,b,a,a,b,b,b,b
